_id,name,salary
614edd1f96d402cd9ab1fd5b,Инженер-программист ЧМИ (SCADA),от  75000руб. месяц 
614edd2396d402cd9ab1fd5c,Преподаватель компьютерных курсов,от  80000руб. месяц 
614edd2396d402cd9ab1fd5d,Программист,160000  руб. месяц 
614edd2496d402cd9ab1fd5e,Ведущий инженер,от  89000руб. месяц 
614edd2696d402cd9ab1fd5f,Ведущий аудитор,500  руб. час 20000 25000  руб. месяц 
614edd2996d402cd9ab1fd60,Специалист по обработке данных (Аналитик данных),до  32000руб. месяц 
614edd2f96d402cd9ab1fd61,Учитель информатики,от  79000руб. месяц 
614edd3296d402cd9ab1fd62,Преподаватель программирования / видеоблогинга,от  36000руб. месяц 
614edd3296d402cd9ab1fd63,Эксперт по Cisco Security,125000 150000  руб. месяц 
614edd3696d402cd9ab1fd64,Программист,от  100000руб. месяц 
614edd3896d402cd9ab1fd65,Главный специалист отдела систем мониторинга и наблюдения,до  32000руб. месяц 
614edd3b96d402cd9ab1fd66,Аналитик (Junior),от  35000руб. месяц 
614edd3c96d402cd9ab1fd67,Педагог дополнительного образования в сфере IT,от  35000руб. месяц 
614edd4296d402cd9ab1fd68,Системный инженер / DevOps (удаленная работа),от  69300руб. месяц 
614edd4396d402cd9ab1fd69,Инженер BMS/АСУЗ,от  69300руб. месяц 
614edd4896d402cd9ab1fd6a,Преподаватель компьютерных курсов для детей,от  36000руб. месяц 
614edd4896d402cd9ab1fd6b,"Аналитик поддержки приложений (ERP, CRM)",от  72849руб. месяц 
614edd4b96d402cd9ab1fd6c,Frontend программист,160000  руб. месяц 
614edd5196d402cd9ab1fd6d,Golang (Go) Developer в международную IT-компанию,
614edd5196d402cd9ab1fd6e,"Преподаватель it-курсов, программирования, информатики",60000 70000  руб. месяц 
614edd5696d402cd9ab1fd6f,Junior Analyst / Младший аналитик (удаленная работа),от  34000руб. месяц 
614edd5796d402cd9ab1fd70,Web-программист,160000  руб. месяц 
614edd5796d402cd9ab1fd71,FullStack разработчик (автоматизация процессов и алгоритмов выявления мошенничества),150000  руб. месяц 
614edd5b96d402cd9ab1fd72,Web-аналитик,от  34000руб. месяц 
614edd5c96d402cd9ab1fd73,Преподаватель программирования и IT технологий,от  40000руб. месяц 
614edd6196d402cd9ab1fd74,Data Engineer / Support Engineer,
614edd6596d402cd9ab1fd75,DevOps-инженер,от  69300руб. месяц 
614edd6896d402cd9ab1fd76,Педагог дополнительного образования,от  55000руб. месяц 
614edd6b96d402cd9ab1fd77,QA Automation Engineer,
614edd6c96d402cd9ab1fd78,Системный администратор,27000 33000  руб. месяц 
614edd6f96d402cd9ab1fd79,Программист 1С,от  80000руб. месяц 
614edd6f96d402cd9ab1fd7a,Специалист информационно-коммуникационных систем / Системный администратор 2-я линия,от  70000руб. месяц 
614edd7296d402cd9ab1fd7b,"Преподаватель программирования, веб-разработки",от  22000руб. месяц 
614edd7496d402cd9ab1fd7c,Back-программист,от  120000руб. месяц 
614edd7596d402cd9ab1fd7d,"Системный администратор, IT-специалист",от  72849руб. месяц 
614edd7896d402cd9ab1fd7e,DevOps инженер,от  69300руб. месяц 
614edd7996d402cd9ab1fd7f,Data Analyst,от  100000руб. месяц 
614edd7d96d402cd9ab1fd80,Учитель информатики,от  79000руб. месяц 
614edd7d96d402cd9ab1fd81,Специалист 1 разряда отдела мониторинга функционирования АИС ФНС России,от  60000руб. месяц 
614edd7e96d402cd9ab1fd82,Технический писатель (разработка программного обеспечения),
614edd8196d402cd9ab1fd83,Web-программист,150000 170000  руб. месяц 
614edd8396d402cd9ab1fd84,Аналитик данных,30000 37000  руб. месяц 
614edd8996d402cd9ab1fd85,Администратор информационных систем,от  50000руб. месяц 
614edd8c96d402cd9ab1fd86,Аналитик,от  72849руб. месяц 
614edd8c96d402cd9ab1fd87,C разработчик,160000  руб. месяц 
614edd9196d402cd9ab1fd88,Программист микроконтроллеров,150000 170000  руб. месяц 
614edd9496d402cd9ab1fd89,Backend Developer,от  80000руб. месяц 
614edd9896d402cd9ab1fd8a,Инженер-программист по интеграции систем,150000 175000  руб. месяц 
614edd9a96d402cd9ab1fd8b,Администратор сопровождения,от  50000руб. месяц 
614edd9b96d402cd9ab1fd8c,DevOps,
614edda096d402cd9ab1fd8d,QA automation,
614edda196d402cd9ab1fd8e,DevOps-инженер,от  40000руб. месяц 
614edda696d402cd9ab1fd8f,Data scientist,150000 175000  руб. месяц 
614edda796d402cd9ab1fd90,Customer Journey Expert кластера Благосостояние,
614eddaa96d402cd9ab1fd91,Ведущий инженер по сопровождению в департамент ИТ блока Финансы,от  89000руб. месяц 
614eddad96d402cd9ab1fd92,Аналитик данных (Data Scientist),от  30000руб. месяц 
614eddad96d402cd9ab1fd93,Дежурный администратор,
614eddb396d402cd9ab1fd94,DevOps-инженер контейнеризированных решений,от  65000руб. месяц 
614eddb496d402cd9ab1fd95,Data Scientist,до  150000руб. месяц 
614eddb896d402cd9ab1fd96,Аналитик экономических показателей,от  35000руб. месяц 
614eddb896d402cd9ab1fd97,Ведущий инженер по сопровождению,от  89000руб. месяц 
614eddbb96d402cd9ab1fd98,Инженер внедрения и сопровождения (Platform V),от  69300руб. месяц 
614eddbc96d402cd9ab1fd99,Ведущий инженер по нагрузочному тестированию Вологда,120000  руб. месяц 
614eddbf96d402cd9ab1fd9a,DevOps инженер,от  40000руб. месяц 
614eddc296d402cd9ab1fd9b,Консультант по интеграции SAP,от  28000руб. месяц 
614eddc296d402cd9ab1fd9c,Представитель владельца моделей,от  55000руб. месяц 
614eddc396d402cd9ab1fd9d,Руководитель направления портфельного анализа (Collection),
614eddc796d402cd9ab1fd9e,Системный аналитик в трайб Риски розничного бизнеса,
614eddc996d402cd9ab1fd9f,Java разработчик,150000 170000  руб. месяц 
614ede9ed33a26efd9122d7d,,Вибрационный насос СОЮЗ Малыш НГС-97128В,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/90122745.jpg']",
614edea0d33a26efd9122d7e,,"Насос погружной колодезный Oasis 25,50, высота подъема 50 м, 1500 л,час","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_01.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_02.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_03.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_04.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_05.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_06.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_07.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_drw.jpg']",
614edea5d33a26efd9122d81,,"Скважинный насос ДЖИЛЕКС Водомет ПРОФ 40,75","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769033.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769033_01.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769033_02.jpg']",
614edea6d33a26efd9122d82,,"Насос циркуляционный ПРИМА UPS32,60 180","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722766.jpg']",
614edea9d33a26efd9122d83,,"Насос циркуляционный КАМА RS 32,6-180","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722718.jpg']",
614edeabd33a26efd9122d86,,"Скважинный насос КАМА 95НПС14-1,1-2,70","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722690.jpg']",
614edeafd33a26efd9122d8b,,"Насос циркуляционный КАМА КАМА-17 НБЦ-800,35","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722707.jpg']",
614edeb4d33a26efd9122d91,,Насос-измельчитель SFA Sanitop,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11397242.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11397242_01.jpg']",
614edeb5d33a26efd9122d92,,Насос циркуляционный UNIPUMP UPC 25-40 180,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769170.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769170_01.jpg']",
614edeb8d33a26efd9122d94,,Насос циркуляционный КАМА НПД-120-15,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722709.jpg']",
614edebcd33a26efd9122d99,,"Насос циркуляционный ПРИМА NC-400,36","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722752.jpg']",
614edeb8d33a26efd9122d95,,Насос санитарный SFA Sanivite,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11116770.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11116770_01.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11116770_02.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11116770_03.jpg']",
614edebfd33a26efd9122d9d,,"Насос циркуляционный Oasis 32,8 180 мм","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/13715072.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/13715072_drw_05.jpg']",
614edec1d33a26efd9122da0,,Скважинный насос UNIPUMP ECO VINT 2,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769149.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769149_01.jpg']",
614edec4d33a26efd9122da5,,Скважинный насос STURM! WP9705DW,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/90122717.jpg']",
614edec5d33a26efd9122da6,,"Скважинный насос КАМА 95НПС6-0,4-2,30","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722694.jpg']",
614edec7d33a26efd9122daa,,"Насос циркуляционный Oasis 32,4 180 мм","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/13715048.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/13715048_01.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/13715048_03.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/13715048_drw_05.jpg']",
614eded3d33a26efd9122db4,,"Насос садовый скважинный «Водомёт» 3.3,9, высота подъема 90 м, кабель 50 м, 3300 л,час","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82585528.jpg']",
614eded4d33a26efd9122db5,,Скважинный насос UNIPUMP ECO VINT 1,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769148.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769148_01.jpg']",
614edee7d33a26efd9122dbd,,"Насос циркуляционный ПРИМА NC-300,25","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722750.jpg']",
614edee7d33a26efd9122dbe,,Скважинный насос STURM! WP9704DW,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/90122718.jpg']",
614edee5d33a26efd9122dbb,,"Насос садовый вибрационный Patriot Лесной Ручей 12В, верхний забор воды 1080 л,час","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18832331.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18832331_01.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18832331_02.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/18832331_03.jpg']",
614edeaad33a26efd9122d84,Разработчик Python / Fastapi,100000  руб. месяц 
614edeabd33a26efd9122d88,"Full-stack Developer (Python, Javascript)",350000 430000  руб. месяц 
614edeadd33a26efd9122d89,"Программист-инженер С++, Python",150000 175000  руб. месяц 
614edeb1d33a26efd9122d8d,Python developer,100000  руб. месяц 
